env,clustername,memorytotal,memorypercent,cputotal,cpupercent,nodecount,health,message
dev,e2dev-tanzu-cs-tkc,817428,34,204000,30,27,WARNING,1 node is in WARNING state.
dev,e2dev-tanzu-rdm-devqa-tkc,240788,6,36000,33,6,HEALTHY,Cluster is healthy
dev,e2dev-tanzu-rdm-tkc,305111,5,44000,32,7,HEALTHY,Cluster is healthy
dev,sv4-dev-channel,239688,18,60000,32,9,HEALTHY,Cluster is healthy
dev,sv4-dev-ci,207688,10,52000,38,8,HEALTHY,Cluster is healthy
dev,sv4-dev-cl,63380,19,16000,58,5,HEALTHY,Cluster is healthy
dev,sv4-dev-devtools,239688,31,60000,77,9,HEALTHY,Cluster is healthy
dev,sv4-dev-e2net,561337,24,140000,39,11,HEALTHY,Cluster is healthy
dev,sv4-dev-e2proxy,175689,12,44000,34,7,HEALTHY,Cluster is healthy
dev,sv4-dev-gtm,175689,11,44000,54,7,HEALTHY,Cluster is healthy
dev,sv4-dev-rnd-sandbox,175689,10,44000,34,7,HEALTHY,Cluster is healthy
dev,sv4-dev-sharedservices,561337,35,140000,35,11,HEALTHY,Cluster is healthy
