clustername,memorytotal,memorypercent,cputotal,cpupercent,nodecount,health,message
sv4-dev-e2proxy,175689,12,44000,34,7,HEALTHY,Cluster is healthy
sv4-dev-gtm,175689,11,44000,35,7,HEALTHY,Cluster is healthy
sv4-dev-portworx-demo1,111276,17,28000,59,7,HEALTHY,Cluster is healthy
sv4-dev-portworx-demo2,0,0,0,0,7,DISCONNECTED,Disconnected. Last heartbeat 2024-02-27T08:07:27Z
sv4-dev-rdm,143689,10,36000,30,6,HEALTHY,Cluster is healthy
sv4-dev-rnd-sandbox,175689,10,44000,34,7,HEALTHY,Cluster is healthy
sv4-dev-sharedservices,561337,17,140000,24,11,HEALTHY,Cluster is healthy
sv4-dr-cdm-e2proxy,71444,5,36000,19,6,HEALTHY,Cluster is healthy
sv4-dr-rdm,119828,4,36000,20,6,HEALTHY,Cluster is healthy
sv4-stg-channel,175689,10,44000,32,7,HEALTHY,Cluster is healthy
sv4-stg-cops,111276,16,28000,51,7,HEALTHY,Cluster is healthy
sv4-stg-e2net,432925,19,108000,18,9,HEALTHY,Cluster is healthy
sv4-stg-gtm,143689,11,36000,35,6,HEALTHY,Cluster is healthy
sv4-stg-sharedservices,175689,14,44000,39,7,HEALTHY,Cluster is healthy
test-tkc,7660,39,6000,57,2,HEALTHY,Cluster is healthy
